CA_sim, CA_exact
3.758794711509052,3.7484940250143777
3.7464797286247546,3.7360774596857773
3.7342977475556074,3.723794271728495
3.7222473318820066,3.7116430284175617
3.7103270606976806,3.6996223124181817
3.6985355284421457,3.6877307216204103
3.686871344734971,3.675966868975617
3.6753331342118334,3.664329382334692
3.6639195363623456,3.6528169042879983
3.652629205369632,3.641428092007045
3.64146080995164,3.6301616170878557
3.630413033204162,3.6190161653960233
3.619484572445557,3.6079904369134246
3.608674139063145,3.5970831455865904
3.5979804583612633,3.5862930191766926
3.587402269410962,3.575618799111156
3.576938324901324,3.5650592403368493
3.5665873909923898,3.554613111174864
3.5563482471696717,3.544279193176852
3.5462196861002395,3.534056280982903
3.536200513490357,3.5239431821809477
3.526289547944661,3.5139387171676755
3.5164856208268587,3.5040417190109463
